source,line,section,value,category,rule,evidence,context
notes/draft-introduction.md,9,(none),1,self_evident,structural context,,"here (§1), what has been tried and what each attempt establishes (§2), the gap"
notes/draft-introduction.md,9,(none),2,self_evident,structural context,,"here (§1), what has been tried and what each attempt establishes (§2), the gap"
notes/draft-introduction.md,10,(none),3,self_evident,structural context,,"those attempts leave (§3), and what this paper does (§4). §3 carries the weight,"
notes/draft-introduction.md,10,(none),4,self_evident,structural context,,"those attempts leave (§3), and what this paper does (§4). §3 carries the weight,"
notes/draft-introduction.md,10,(none),3,self_evident,structural context,,"those attempts leave (§3), and what this paper does (§4). §3 carries the weight,"
notes/draft-introduction.md,14,"1. Why methane, and why this region",1,self_evident,structural line,,"## 1. Why methane, and why this region"
notes/draft-introduction.md,20,"1. Why methane, and why this region",30,cited,in a draft's own exemption list,"introduction: inventory spread, at least 30 percent","totals differ by at least 30 percent — about fifteen Tg a⁻¹, roughly one rice"
notes/draft-introduction.md,25,"1. Why methane, and why this region",60,cited,in a draft's own exemption list,introduction: 60 percent of emissions in three regions,"including the Yangtze River Delta, carry about 60 percent of China's emissions on"
notes/draft-introduction.md,26,"1. Why methane, and why this region",30,cited,in a draft's own exemption list,"introduction: inventory spread, at least 30 percent",under 30 percent of its land. An assembled national prior puts the sectoral
notes/draft-introduction.md,27,"1. Why methane, and why this region",21.0,cited,in a draft's own exemption list,"introduction: national prior, coal","shape at coal mining 21.0 Tg a⁻¹, rice paddies 13.7, wastewater 9.5, livestock"
notes/draft-introduction.md,27,"1. Why methane, and why this region",13.7,cited,in a draft's own exemption list,"introduction/discussion: rice prior Tg, and the water-regime ratio","shape at coal mining 21.0 Tg a⁻¹, rice paddies 13.7, wastewater 9.5, livestock"
notes/draft-introduction.md,27,"1. Why methane, and why this region",9.5,cited,in a draft's own exemption list,"introduction: national prior, wastewater","shape at coal mining 21.0 Tg a⁻¹, rice paddies 13.7, wastewater 9.5, livestock"
notes/draft-introduction.md,28,"1. Why methane, and why this region",8.2,cited,in a draft's own exemption list,"introduction: national prior, livestock","8.2, landfills 5.2, wetlands 2.0, and lakes with aquaculture 1.3, against an"
notes/draft-introduction.md,28,"1. Why methane, and why this region",5.2,cited,in a draft's own exemption list,"introduction: national prior, landfills","8.2, landfills 5.2, wetlands 2.0, and lakes with aquaculture 1.3, against an"
notes/draft-introduction.md,28,"1. Why methane, and why this region",2.0,cited,in a draft's own exemption list,"introduction: national prior, wetlands","8.2, landfills 5.2, wetlands 2.0, and lakes with aquaculture 1.3, against an"
notes/draft-introduction.md,28,"1. Why methane, and why this region",1.3,cited,in a draft's own exemption list,"introduction: national prior, lakes and aquaculture","8.2, landfills 5.2, wetlands 2.0, and lakes with aquaculture 1.3, against an"
notes/draft-introduction.md,29,"1. Why methane, and why this region",64,self_evident,study box or lattice shape,,anthropogenic total of 64 Tg a⁻¹ — so **coal is the largest single anthropogenic
notes/draft-introduction.md,36,"1. Why methane, and why this region",26,cited,in a draft's own exemption list,introduction/discussion: 26 percent aquaculture share,"interleaved. The four provinces hold 26 percent of China's aquaculture area,"
notes/draft-introduction.md,44,"1. Why methane, and why this region",53,cited,in a draft's own exemption list,"introduction: posterior uncertainty, lower bound",southern China carry posterior emission uncertainties of 53 to 69 percent for
notes/draft-introduction.md,44,"1. Why methane, and why this region",69,cited,in a draft's own exemption list,"introduction: posterior uncertainty, upper bound",southern China carry posterior emission uncertainties of 53 to 69 percent for
notes/draft-introduction.md,45,"1. Why methane, and why this region",2018,self_evident,year as a date,,that reason. The 2018 record over this lattice is an eight-month record beginning
notes/draft-introduction.md,46,"1. Why methane, and why this region",23.0,measured,inline resolver,dofs.days_median,"30 April, with a median of 23.0<!--#dofs.days_median--> observation days per"
notes/draft-introduction.md,46,"1. Why methane, and why this region",30,cited,in a draft's own exemption list,"introduction: inventory spread, at least 30 percent","30 April, with a median of 23.0<!--#dofs.days_median--> observation days per"
notes/draft-introduction.md,49,2. What has been attempted,2,self_evident,structural line,,## 2. What has been attempted
notes/draft-introduction.md,64,2. What has been attempted,2018,self_evident,year as a date,,inversion of this region in 2018 found agricultural soils to be the dominant
notes/draft-introduction.md,73,2. What has been attempted,0.98,cited,in a draft's own exemption list,introduction: downscaling R squared for CO2,products and reanalysis reached R² 0.98 for column carbon dioxide and **R² 0.63
notes/draft-introduction.md,73,2. What has been attempted,0.63,cited,in a draft's own exemption list,introduction/discussion: downscaling R squared for CH4,products and reanalysis reached R² 0.98 for column carbon dioxide and **R² 0.63
notes/draft-introduction.md,74,2. What has been attempted,13.26,cited,in a draft's own exemption list,introduction/discussion: downscaling RMSE ppb,"with an RMSE of 13.26 ppb for column methane** on the same inputs, described by"
notes/draft-introduction.md,75,2. What has been attempted,13.26,cited,in a draft's own exemption list,introduction/discussion: downscaling RMSE ppb,its authors as moderate accuracy. An RMSE of 13.26 ppb is comparable to this
notes/draft-introduction.md,77,2. What has been attempted,14.86,measured,inline resolver,field.sd_operational,14.86<!--#field.sd_operational--> ppb.
notes/draft-introduction.md,84,3. The gap,3,self_evident,structural line,,## 3. The gap
notes/draft-introduction.md,101,3. The gap,2018,self_evident,year as a date,,"**And the expectation itself is not new, which sharpens what is.** A 2018"
notes/draft-introduction.md,116,3. The gap,4,self_evident,structural context,,"asked. Together they say something stronger, which §4 states."
notes/draft-introduction.md,118,3. The gap,2023,self_evident,year as a date,,This paper extends a 2023 master's thesis that asked whether urban expansion and
notes/draft-introduction.md,123,4. What this paper does,4,self_evident,structural line,,## 4. What this paper does
notes/draft-introduction.md,134,4. What this paper does,3.98,measured,inline resolver,dofs.at_5tg," 3.98<!--#dofs.at_5tg--> to 22.21<!--#dofs.at_12tg-->, and **no cell reaches an"
notes/draft-introduction.md,134,4. What this paper does,22.21,measured,inline resolver,dofs.at_12tg," 3.98<!--#dofs.at_5tg--> to 22.21<!--#dofs.at_12tg-->, and **no cell reaches an"
notes/draft-introduction.md,135,4. What this paper does,0.5,cited,in a draft's own exemption list,introduction/discussion: averaging-kernel sensitivity threshold, averaging-kernel sensitivity above 0.5 at any magnitude tested** — the count is
notes/draft-introduction.md,136,4. What this paper does,0,measured,inline resolver,dofs.cells_above_half, 0<!--#dofs.cells_above_half-->;
notes/draft-introduction.md,148,4. What this paper does,2018,self_evident,year as a date,,limitation was asserted for this instrument in 2018 and the contribution is
notes/draft-introduction.md,154,4. What this paper does,9,measured,inline resolver,tccon.coincident_days,9<!--#tccon.coincident_days--> coincident
notes/draft-introduction.md,163,4. What this paper does,126,measured,inline resolver,curve.specifications,126<!--#curve.specifications--> defensible specifications
notes/draft-introduction.md,164,4. What this paper does,0,measured,inline resolver,curve.positive_and_beats,0<!--#curve.positive_and_beats--> are both positive and beat their own spatial
notes/draft-introduction.md,167,4. What this paper does,7,measured,inline resolver,equiv.impervious_within,7<!--#equiv.impervious_within--> of
notes/draft-introduction.md,168,4. What this paper does,12,measured,inline resolver,equiv.impervious_rows,"12<!--#equiv.impervious_rows-->, so this paper claims no meaningful rice effect"
notes/draft-introduction.md,174,4. What this paper does,1.15,measured,inline resolver,atten.factor_max,"1.15<!--#atten.factor_max-->, and reaching the spatial null's performance would"
notes/draft-introduction.md,175,4. What this paper does,74.5,measured,inline resolver,atten.need_share_bu_pct,require 74.5<!--#atten.need_share_bu_pct--> percent of the predictor's variance
notes/draft-introduction.md,176,4. What this paper does,5.6,measured,inline resolver,atten.need_multiple_bu,"to be error, which is 5.6<!--#atten.need_multiple_bu--> times what the two"
notes/draft-methods.md,18,1. Study area and analysis lattice,1,self_evident,structural line,,## 1. Study area and analysis lattice
notes/draft-methods.md,22,1. Study area and analysis lattice,0.25,self_evident,grid resolution,,was carried out on a regular geographic lattice of 0.25° cells spanning 114.8°
notes/draft-methods.md,22,1. Study area and analysis lattice,114.8,self_evident,study box or lattice shape,,was carried out on a regular geographic lattice of 0.25° cells spanning 114.8°
notes/draft-methods.md,23,1. Study area and analysis lattice,122.55,self_evident,study box or lattice shape,,"to 122.55° east and 26.95° to 35.2° north, giving 31 columns by 33 rows and"
notes/draft-methods.md,23,1. Study area and analysis lattice,26.95,self_evident,study box or lattice shape,,"to 122.55° east and 26.95° to 35.2° north, giving 31 columns by 33 rows and"
notes/draft-methods.md,23,1. Study area and analysis lattice,35.2,self_evident,study box or lattice shape,,"to 122.55° east and 26.95° to 35.2° north, giving 31 columns by 33 rows and"
notes/draft-methods.md,23,1. Study area and analysis lattice,31,self_evident,study box or lattice shape,,"to 122.55° east and 26.95° to 35.2° north, giving 31 columns by 33 rows and"
